python_version,pyscf_version,basis_set_exchange_version,numpy_version,scipy_version,basis_name,basis_normalized_sha256,nuclear_model,light_speed_au,conv_tol,max_cycle,threads,gaunt,breit,method,energy_hartree,homo_hartree,converged,matrix_dimension,overlap_condition_number,seconds,pyscf_object,mo_energy_shape,mo_occ_shape,orbital_representation,occupation_semantics,spinor_degeneracy_recording,positive_energy_selection,mo_index,spin_channel,orbital_energy_hartree,occupation,reported_multiplicity
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,0,,-520.165462038858,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,1,,-69.90307677415241,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,2,,-63.00977945936404,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,3,,-63.00977945893572,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,4,,-63.009779458902614,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,5,,-10.849460637080709,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,6,,-8.331495342716627,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,7,,-8.331495342689317,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,8,,-8.33149534266913,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,9,,-3.8252279767723123,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,10,,-3.8252279767083173,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,11,,-3.8252279765932733,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,12,,-3.8252279764750994,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,13,,-3.825227976007391,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,14,,-1.152930586573866,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,15,,-0.5241821807439714,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,16,,-0.5241821802164189,2.0,1
3.14.7,2.11.0,0.12,2.5.2,1.18.1,dyall-v4z,f5f303087837bbd3228109298997abcf8a3f9c619a36aea6b1735d1a9df0f5b5,point,137.03599967994,1e-11,200,1,False,False,NR-HF,-2752.0549585746207,-0.5241821799596323,True,181,467810.2937617592,4.6091008330113254,pyscf.scf.hf.RHF,[181],[181],spatial orbital,Each entry is one PySCF spatial MO; occupation is the electron count stored in that mo_occ entry.,"Not applicable: the entries are spatial orbitals, not spinors.",All mo_occ entries greater than 1e-8; this method has no negative-energy Dirac branch.,17,,-0.5241821799596323,2.0,1
